trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.3, 'e': 0.46999999999999953}",25,0,-66.84415333501582,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
108,False,"{'a': 0.3, 'e': 0.4649999999999995}",30,15,-34.28128065885402,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.3, 'e': 0.4599999999999995}",20,0,5.375838932476799,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.3, 'e': 0.4549999999999995}",20,0,-68.47142208141011,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
111,False,"{'a': 0.3, 'e': 0.4499999999999995}",25,14,8.220235965947005,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.3, 'e': 0.4449999999999995}",20,2,2.6365525811673765,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.3, 'e': 0.4399999999999995}",25,10,-104.05852013584274,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 2}",1
114,False,"{'a': 0.3, 'e': 0.4349999999999995}",30,14,-14.035867882982446,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
115,False,"{'a': 0.3, 'e': 0.4299999999999995}",20,0,30.274268528789747,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.3, 'e': 0.4249999999999995}",20,2,-29.50462218113706,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.3, 'e': 0.4199999999999995}",20,9,8.35566820317759,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.3, 'e': 0.4149999999999995}",30,0,-105.19625527388611,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
119,False,"{'a': 0.3, 'e': 0.4099999999999995}",25,10,22.276361871174874,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.3, 'e': 0.40499999999999947}",20,0,-8.425037924320636,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
121,False,"{'a': 0.3, 'e': 0.39999999999999947}",25,15,-4.705970391467836,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
122,False,"{'a': 0.3, 'e': 0.39499999999999946}",30,19,10.341672080178965,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.38999999999999946}",25,15,-28.452192834492518,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.3, 'e': 0.38499999999999945}",25,3,-91.56020153926441,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 0}",1
125,False,"{'a': 0.3, 'e': 0.37999999999999945}",35,25,7.804513300802551,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
